gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
985966068	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS135101475	Animalia	Chordata	Aves	Charadriiformes	Scolopacidae	Tringa	Tringa solitaria		SPECIES	Tringa solitaria A.Wilson, 1813	Tringa solitaria		US	Bar Harbor	Maine	PRESENT		e2e717bf-551a-4917-bdc9-4fa0f342c530	44.38758	-68.20386							2008-08-04	4	8	2008	2481710	2481710	HUMAN_OBSERVATION	CLO	EBIRD	OBS135101475				CC_BY_4_0		obsr250068			2024-04-17T09:51:35.168Z		CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
985242306	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS116022283	Animalia	Chordata	Aves	Charadriiformes	Scolopacidae	Calidris	Calidris maritima		SPECIES	Calidris maritima (Brünnich, 1764)	Calidris maritima		US	Bar Harbor	Maine	PRESENT	3	e2e717bf-551a-4917-bdc9-4fa0f342c530	44.38758	-68.20386							2011-04-22	22	4	2011	2481743	2481743	HUMAN_OBSERVATION	CLO	EBIRD	OBS116022283				CC_BY_4_0		obsr229149			2024-04-17T08:44:02.017Z		CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
984776520	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS101322764	Animalia	Chordata	Aves	Charadriiformes	Scolopacidae	Calidris	Calidris maritima		SPECIES	Calidris maritima (Brünnich, 1764)	Calidris maritima		US	Southwest Harbor	Maine	PRESENT		e2e717bf-551a-4917-bdc9-4fa0f342c530	44.27978	-68.32506							2010-01-23	23	1	2010	2481743	2481743	HUMAN_OBSERVATION	CLO	EBIRD	OBS101322764				CC_BY_4_0		obsr106420			2024-04-17T08:22:51.841Z		CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
984462927	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS93619458	Animalia	Chordata	Aves	Charadriiformes	Scolopacidae	Tringa	Tringa melanoleuca		SPECIES	Tringa melanoleuca (J.F.Gmelin, 1789)	Tringa melanoleuca		US	Seal Harbor	Maine	PRESENT	1	e2e717bf-551a-4917-bdc9-4fa0f342c530	44.30318	-68.24026							2009-05-12	12	5	2009	2481720	2481720	HUMAN_OBSERVATION	CLO	EBIRD	OBS93619458				CC_BY_4_0		obsr137437			2024-04-17T08:22:23.635Z		CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
982944530	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS61201044	Animalia	Chordata	Aves	Charadriiformes	Scolopacidae	Calidris	Calidris maritima		SPECIES	Calidris maritima (Brünnich, 1764)	Calidris maritima		US	Bar Harbor	Maine	PRESENT	22	e2e717bf-551a-4917-bdc9-4fa0f342c530	44.38758	-68.20386							2009-01-10	10	1	2009	2481743	2481743	HUMAN_OBSERVATION	CLO	EBIRD	OBS61201044				CC_BY_4_0		obsr90805			2024-04-17T08:44:29.630Z		CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
982898870	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS60343788	Animalia	Chordata	Aves	Charadriiformes	Scolopacidae	Arenaria	Arenaria interpres		SPECIES	Arenaria interpres (Linnaeus, 1758)	Arenaria interpres		US	Bar Harbor	Maine	PRESENT	2	e2e717bf-551a-4917-bdc9-4fa0f342c530	44.38758	-68.20386							2008-07-08	8	7	2008	2481776	2481776	HUMAN_OBSERVATION	CLO	EBIRD	OBS60343788				CC_BY_4_0		obsr168283			2024-04-17T08:44:23.565Z		CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
982636033	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS56360470	Animalia	Chordata	Aves	Charadriiformes	Scolopacidae	Tringa	Tringa melanoleuca		SPECIES	Tringa melanoleuca (J.F.Gmelin, 1789)	Tringa melanoleuca		US	Bar Harbor	Maine	PRESENT	1	e2e717bf-551a-4917-bdc9-4fa0f342c530	44.38758	-68.20386							2008-08-01	1	8	2008	2481720	2481720	HUMAN_OBSERVATION	CLO	EBIRD	OBS56360470				CC_BY_4_0		obsr146842			2024-04-17T09:02:08.970Z		CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
982561513	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS55480518	Animalia	Chordata	Aves	Charadriiformes	Scolopacidae	Arenaria	Arenaria interpres		SPECIES	Arenaria interpres (Linnaeus, 1758)	Arenaria interpres		US	Bar Harbor	Maine	PRESENT	2	e2e717bf-551a-4917-bdc9-4fa0f342c530	44.38758	-68.20386							2008-07-08	8	7	2008	2481776	2481776	HUMAN_OBSERVATION	CLO	EBIRD	OBS55480518				CC_BY_4_0		obsr131249			2024-04-17T09:49:37.565Z		CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
982498166	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD_BCN:OBS54851317	Animalia	Chordata	Aves	Charadriiformes	Scolopacidae	Scolopax	Scolopax minor		SPECIES	Scolopax minor J.F.Gmelin, 1789	Scolopax minor		US	Bar Harbor	Maine	PRESENT	2	e2e717bf-551a-4917-bdc9-4fa0f342c530	44.38758	-68.20386							2008-06-10	10	6	2008	2481695	2481695	HUMAN_OBSERVATION	CLO	EBIRD_BCN	OBS54851317				CC_BY_4_0		obsr135244			2024-04-17T09:01:57.946Z		CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
982079666	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS46680322	Animalia	Chordata	Aves	Charadriiformes	Scolopacidae	Calidris	Calidris maritima		SPECIES	Calidris maritima (Brünnich, 1764)	Calidris maritima		US	Bar Harbor	Maine	PRESENT	45	e2e717bf-551a-4917-bdc9-4fa0f342c530	44.38758	-68.20386							2008-01-06	6	1	2008	2481743	2481743	HUMAN_OBSERVATION	CLO	EBIRD	OBS46680322				CC_BY_4_0		obsr90805			2024-04-17T08:21:59.430Z		CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
981217320	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS33684961	Animalia	Chordata	Aves	Charadriiformes	Scolopacidae	Calidris	Calidris pusilla		SPECIES	Calidris pusilla (Linnaeus, 1766)	Calidris pusilla		US	Bar Harbor	Maine	PRESENT	7	e2e717bf-551a-4917-bdc9-4fa0f342c530	44.38758	-68.20386							2006-09-12	12	9	2006	2481764	2481764	HUMAN_OBSERVATION	CLO	EBIRD	OBS33684961				CC_BY_4_0		obsr53167			2024-04-17T08:43:39.483Z		CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
981217274	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS33684962	Animalia	Chordata	Aves	Charadriiformes	Scolopacidae	Calidris	Calidris minutilla		SPECIES	Calidris minutilla (Vieillot, 1819)	Calidris minutilla		US	Bar Harbor	Maine	PRESENT	5	e2e717bf-551a-4917-bdc9-4fa0f342c530	44.38758	-68.20386							2006-09-12	12	9	2006	2481745	2481745	HUMAN_OBSERVATION	CLO	EBIRD	OBS33684962				CC_BY_4_0		obsr53167			2024-04-17T08:44:20.953Z		CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
